class,label
Calciopappus,nanoflagcocco
Calciosolenia_brasiliensis,nanoflagcocco
Chrysochromulina,nanoflagcocco
Chrysochromulina_lanceolata,nanoflagcocco
Corymbellus,nanoflagcocco
Cryptophyta,nanoflagcocco
Dictyocha,nanoflagcocco
Dinobryon,nanoflagcocco
Emiliania_huxleyi,nanoflagcocco
Euglena,nanoflagcocco
Ophiaster,nanoflagcocco
Pseudochattonella_farcimen,nanoflagcocco
Pyramimonas,nanoflagcocco
Pyramimonas_longicauda,nanoflagcocco
Pyramimonas_morphotype1,nanoflagcocco
Rhabdolithes,nanoflagcocco
Syracosphaera_pulchra,nanoflagcocco
Vicicitus_globosus,nanoflagcocco
coccolithophorid,nanoflagcocco
flagellate,nanoflagcocco
flagellate_morphotype1,nanoflagcocco
flagellate_morphotype3,nanoflagcocco
nanoplankton_mix,nanoflagcocco
unknown2,nanoflagcocco
Acantharia,protist_tricho
Acanthoica_quattrospina,protist_tricho
Akashiwo,protist_tricho
Alexandrium_catenella,protist_tricho
Amoeba,protist_tricho
Amphidinium,protist_tricho
Amylax,protist_tricho
Apedinella,protist_tricho
Asterionellopsis_glacialis,protist_tricho
Bacillaria,protist_tricho
Bacillariophyceae,protist_tricho
Bacillariophyceae_morphotype1,protist_tricho
Bacteriastrum,protist_tricho
Balanion,protist_tricho
Biddulphia,protist_tricho
Calciopappus,protist_tricho
Calciosolenia_brasiliensis,protist_tricho
Cerataulina_pelagica,protist_tricho
Chaetoceros,protist_tricho
Chaetoceros_danicus,protist_tricho
Chaetoceros_didymus,protist_tricho
Chaetoceros_didymus_TAG_external_flagellate,protist_tricho
Chaetoceros_peruvianis,protist_tricho
Chaetoceros_similis,protist_tricho
Chaetoceros_socialis,protist_tricho
Chaetoceros_subtilis,protist_tricho
Chaetoceros_tenuissimus,protist_tricho
Chaetoceros_throndsenii,protist_tricho
Chrysochromulina,protist_tricho
Chrysochromulina_lanceolata,protist_tricho
Ciliophora,protist_tricho
Corethron_hystrix,protist_tricho
Corymbellus,protist_tricho
Coscinodiscus,protist_tricho
Cryptophyta,protist_tricho
Cylindrotheca,protist_tricho
Cylindrotheca_morphotype1,protist_tricho
Dactyliosolen_blavyanus,protist_tricho
Dactyliosolen_fragilissimus,protist_tricho
Delphineis,protist_tricho
Dictyocha,protist_tricho
Dictyocysta,protist_tricho
Didinium,protist_tricho
Dinobryon,protist_tricho
Dinophyceae,protist_tricho
Dinophysis_acuminata,protist_tricho
Dinophysis_norvegica,protist_tricho
Dinophysis_tripos,protist_tricho
Ditylum_brightwellii,protist_tricho
Emiliania_huxleyi,protist_tricho
Ephemera,protist_tricho
Eucampia,protist_tricho
Eucampia_morphytype1,protist_tricho
Euglena,protist_tricho
Euplotes,protist_tricho
Euplotes_morphotype1,protist_tricho
Eutintinnus,protist_tricho
Favella,protist_tricho
Gonyaulax,protist_tricho
Guinardia_delicatula,protist_tricho
Guinardia_delicatula_TAG_internal_parasite,protist_tricho
Guinardia_flaccida,protist_tricho
Guinardia_striata,protist_tricho
Gyrodinium,protist_tricho
Hemiaulus,protist_tricho
Hemiaulus_membranaceus,protist_tricho
Heterocapsa_rotundata,protist_tricho
Karenia,protist_tricho
Katodinium_or_Torodinium,protist_tricho
Kryptoperidinium_triquetrum,protist_tricho
Laboea_strobila,protist_tricho
Lauderia_annulata,protist_tricho
Leegaardiella_ovalis,protist_tricho
Leptocylindrus,protist_tricho
Leptocylindrus_mediterraneus,protist_tricho
Licmophora,protist_tricho
Margalefidinium,protist_tricho
Mesodinium,protist_tricho
Nanoneis,protist_tricho
Odontella,protist_tricho
Ophiaster,protist_tricho
Oxytoxum,protist_tricho
Paralia_sulcata,protist_tricho
Paratontonia_gracillima,protist_tricho
Parvicorbicula_socialis,protist_tricho
Pelagostrobilidium,protist_tricho
Phaeocystis,protist_tricho
Pleuronema,protist_tricho
Pleurosigma,protist_tricho
Polykrikos,protist_tricho
Prorocentrum,protist_tricho
Prorocentrum_dentatum,protist_tricho
Prorocentrum_micans,protist_tricho
Prorocentrum_triestinum,protist_tricho
Proterythropsis,protist_tricho
Protoperidinium,protist_tricho
Pseudo-nitzschia,protist_tricho
Pseudochattonella_farcimen,protist_tricho
Pyramimonas,protist_tricho
Pyramimonas_longicauda,protist_tricho
Pyramimonas_morphotype1,protist_tricho
Rhabdolithes,protist_tricho
Rhizosolenia,protist_tricho
Scrippsiella,protist_tricho
Skeletonema,protist_tricho
Stenosemella_morphotype1,protist_tricho
Stenosemella_pacifica,protist_tricho
Stephanopyxis,protist_tricho
Strombidium_capitatum,protist_tricho
Strombidium_conicum,protist_tricho
Strombidium_inclinatum,protist_tricho
Strombidium_morphotype1,protist_tricho
Strombidium_morphotype2,protist_tricho
Strombidium_tintinnodes,protist_tricho
Strombidium_wulffi,protist_tricho
Syracosphaera_pulchra,protist_tricho
Thalassionema,protist_tricho
Thalassiosira,protist_tricho
Thalassiosira_TAG_external_detritus,protist_tricho
Thalassiosira_sp_aff_mala,protist_tricho
Tiarina_fusus,protist_tricho
Tintinnidium_mucicola,protist_tricho
Tintinnina,protist_tricho
Tintinnopsis,protist_tricho
Tontonia_appendiculariformis,protist_tricho
Trichodesmium,protist_tricho
Tripos,protist_tricho
Tripos_furca,protist_tricho
Tripos_fusus,protist_tricho
Tripos_lineatus,protist_tricho
Vicicitus_globosus,protist_tricho
Warnowia,protist_tricho
coccolithophorid,protist_tricho
flagellate,protist_tricho
flagellate_morphotype1,protist_tricho
flagellate_morphotype3,protist_tricho
nanoplankton_mix,protist_tricho
pennate,protist_tricho
pennate_Pseudo-nitzschia,protist_tricho
pennate_Thalassionema,protist_tricho
pennate_morphotype1,protist_tricho
unknown2,protist_tricho
